#,单词,音标,解释,笔记
1443,separate,英:/ˈseprət/ 美:/ˈseprət/,vt. 使分离；使分居；使分开 vi. 分开；分居；隔开,
1444,series,英:/ˈsɪəriːz/ 美:/ˈsɪriːz/,n. 系列，连续；丛书；[电]串联；[数]级数,
1445,servant,英:/ˈsɜːvənt/ 美:/ˈsɜːrvənt/,n. 仆人，佣人；公务员；雇工,
1446,serve,英:/sɜːv/ 美:/sɜːrv/,v. 提供（食物或饮料）；为…工作；为…服务；尽职责；可作…用；（在网球等体育运动中）发（球）,
1447,service,英:/ˈsɜːvɪs/ 美:/ˈsɜːrvɪs/,n. 服务，服侍；服役；仪式 adj. 服现役的；服务性的；耐用的,
1448,set,英:/set/ 美:/set/,n. 集合；一套；布景；装置；趋势 vt. 树立；点燃；放；点缀；使凝结,
1449,settle,英:/ˈsetl/ 美:/ˈsetl/,vi. 定居；下陷；解决；沉淀 vt. 解决；安排；使…定居,
1450,seven,英:/'sev(ə)n/ 美:/'sɛvn/,num. 七个，七 n. 七个，七,
1451,several,英:/'sev(ə)r(ə)l/ 美:/'sɛvrəl/,adj. 几个的；各自的 pron. 几个；数个,
1452,severe,英:/sɪˈvɪə(r)/ 美:/sɪˈvɪr/,adj. 严厉的；苛刻的；剧烈的；严峻的,
1453,sew,英:/səʊ/ 美:/soʊ/,vt. 缝合，缝上；缝纫 vi. 缝纫，缝,
1454,sex,英:/seks/ 美:/seks/,"n. 性别; 性 男性; 女性 性关系 性活动, 性行为",
1455,sexual,英:/'sekʃʊəl/ 美:/'sɛʃʊəl/,adj. 性的；性欲的；有性生殖的；性别的,
1456,shade,英:/ʃeɪd/ 美:/ʃeɪd/,n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别 vt. 为…遮阳；使阴暗；使阴郁；掩盖；使渐变,
1457,shadow,英:/ˈʃædəʊ/ 美:/ˈʃædoʊ/,n. 影子；阴影；庇护；幽灵；隐蔽处 vt. 遮蔽；尾随；预示；使朦胧,
1458,shake,英:/ʃeɪk/ 美:/ʃek/,vt. 摇动；动摇；震动 vi. 摇动；发抖；动摇,
1459,shall,英:/ʃæl/ 美:/ʃəl/,aux. 将；必须；会；应,
1460,shame,英:/ʃeɪm/ 美:/ʃem/,n. 羞耻，羞愧；憾事，带来耻辱的人 vt. 使丢脸，使羞愧,
1461,shape,英:/ʃeɪp/ 美:/ʃep/,n. 形状；具体化；模型；身材 vt. 塑造，使成形；形成；使符合,
1462,share,英:/ʃeə(r)/ 美:/ʃer/,vt. 分享，分担；分配 vi. 分担；共享,
1463,she,英:/ʃi:/ 美:/ʃi/,pron. 她（主格）,
1464,sharp,英:/ʃɑːp/ 美:/ʃɑːrp/,adj. 急剧的；锋利的；刺耳的；敏捷的；强烈的 adv. 锐利地；急剧地；突然地,
1465,sheep,英:/ʃiːp/ 美:/ʃiːp/,n. 羊，绵羊；胆小鬼,
1466,sheet,英:/ʃiːt/ 美:/ʃiːt/,n. 薄片，纸张；床单；薄板 vt. 盖上被单；覆盖；使成大片,
1467,shelf,英:/ʃelf/ 美:/ʃelf/,n. 搁板；架子；搁板状物,
1468,shelter,英:/ˈʃeltə(r)/ 美:/ˈʃeltər/,n. 避难所；遮盖物；庇护 vt. 使掩蔽；保护,
1469,shine,英:/ʃaɪn/ 美:/ʃaɪn/,vi. 照耀；显露；出众 n. 光泽；擦亮；晴天,
1470,ship,英:/ʃɪp/ 美:/ʃɪp/,vt. 运送，乘船；以船运送 vi. 当船员；上船；乘船旅行,
1471,shirt,英:/ʃɜːt/ 美:/ʃɝt/,n. 衬衫；汗衫，内衣,
1472,shock,英:/ʃɒk/ 美:/ʃɑːk/,n. 打击；震动；震惊；休克；禾束堆 vt. 使震动；使震惊；使受电击；使休克；把…堆成禾束堆,
1473,shocking,英:/'ʃɒkɪŋ/ 美:/'ʃɑkɪŋ/,adj. 令人震惊的；糟糕的；可怕的，令人厌恶的 v. 感到震惊；震动；冲突（shock的ing形式）,
1474,shoe,英:/ʃuː/ 美:/ʃu/,n. 鞋；蹄铁；外胎 vt. 给……穿上鞋；穿……鞋,
1475,shoot,英:/ʃuːt/ 美:/ʃuːt/,vt. 射击，射中；拍摄；发芽；使爆炸；给…注射  vi. 射击；发芽；拍电影  n. 射击；摄影；狩猎；急流,
1476,shop,英:/ʃɒp/ 美:/ʃɑp/,n. 商店；店铺 vt. 购物,
1477,shore,英:/ʃɔː(r)/ 美:/ʃɔːr/,n. 岸；滨,
1478,shot,英:/ʃɒt/ 美:/ʃɑːt/,n. 发射；炮弹；射手 adj. 用尽的；破旧的；杂色的，闪光的,
1479,should,英:/ʃʊd/ 美:/ʃəd/,aux. 应该；将要；可能；就,
1480,shoulder,英:/'ʃəʊldə/ 美:/'ʃoldɚ/,n. 肩，肩膀；肩部 vt. 肩负，承担,
1481,shout,英:/ʃaʊt/ 美:/ʃaʊt/,vi. 呼喊；喊叫；大声说 vt. 呼喊；大声说,
1482,show,英:/ʃəʊ/ 美:/ʃo/,vt. 显示；演出；展出；说明 vi. 显示；指示；说明,
1483,shut,英:/ʃʌt/ 美:/ʃʌt/,vt. 关闭；停业；幽禁 vi. 关上；停止营业,
1484,shy,英:/ʃaɪ/ 美:/ʃaɪ/,adj. 害羞的；畏缩的，胆怯的 vi. 惊退；厌恶；畏缩；投,
1485,sick,英:/sɪk/ 美:/sɪk/,n. 病人 adj. 厌恶的，病态的，不舒服，渴望的，恶心的,
1486,side,英:/saɪd/ 美:/saɪd/,n. 方面；侧面；旁边 vi. 支持；赞助；偏袒,
1487,sideways,英:/ˈsaɪdweɪz/ 美:/ˈsaɪdweɪz/,adv. 向侧面地；向一旁 adj. 向侧面的；一旁的,
1488,sight,英:/saɪt/ 美:/saɪt/,n. 视力；眼界；景象；见解 vt. 看见；瞄准,
1489,sign,英:/saɪn/ 美:/saɪn/,n. 符号；记号；迹象；手势 vi. 签名；签署,
1490,signal,英:/ˈsɪɡnəl/ 美:/ˈsɪɡnəl/,n. 信号；暗号；导火线 vt. 用信号通知；标志,
1491,silence,英:/'saɪləns/ 美:/'saɪləns/,n. 寂静；无声状态；不谈；缄默；沉默 vt. 使沉默；使安静；压制；消除噪音,
1492,silent,英:/'saɪlənt/ 美:/'saɪlənt/,adj. 沉默的；寂静的；无记载的 n. 无声电影,
1493,silk,英:/sɪlk/ 美:/sɪlk/,n. 蚕丝；丝绸；丝织物 adj. 丝的；丝制的；丝绸的,
1494,silly,英:/'sɪlɪ/ 美:/'sɪli/,adj. 愚蠢的 n. 傻瓜,
1495,silver,英:/'sɪlvə/ 美:/'sɪlvɚ/,n. 银；银器；餐具；银币；银质奖章；银灰色 adj. 银的；含银的；有银色光泽的；口才流利的；第二十五周年的婚姻,
1496,similar,英:/'sɪmɪlə/ 美:/'sɪməlɚ/,adj. 相似的 n. 类似物,
1497,simple,英:/'sɪmp(ə)l/ 美:/'sɪmpl/,adj. 简单的；单纯的；天真的 n. 愚蠢的行为；笨蛋；出身低微者,
1498,since,英:/sɪns/ 美:/sɪns/,conj. 既然；因为；由于；自…以来；自…以后 prep. 自…以来；自…以后,
1499,sincere,英:/sɪnˈsɪə(r)/ 美:/sɪnˈsɪr/,adj. 真诚的；诚挚的；真实的,
1500,sing,英:/sɪŋ/ 美:/sɪŋ/,vi. 唱歌；鸣叫；歌颂；呼号 vt. 唱；用诗赞颂；唱着使,
1501,single,英:/'sɪŋg(ə)l/ 美:/'sɪŋɡl/,adj. 单一的；单身的；单程的 n. 单打；单程票；一个,
1502,singular,英:/ˈsɪŋɡjələ(r)/ 美:/ˈsɪŋɡjələr/,adj. [语]单数的；单一的；非凡的；异常的 n. [语]单数,
1503,sink,英:/sɪŋk/ 美:/sɪŋk/,vi. 下沉；消沉；渗透 vt. 使下沉；挖掘；使低落,
1504,sister,英:/'sɪstə/ 美:/'sɪstɚ/,n. 姐妹；修女；护士 vt. 姐妹般对待,
1505,sit,英:/sɪt/ 美:/sɪt/,vi. 坐；位于 vt. 使就座,
1506,situation,英:/sɪtjʊ'eɪʃ(ə)n/ 美:/ˌsɪtʃu'eʃən/,n. 形势；局面；位置；职位；处境；状况,
1507,six,英:/sɪks/ 美:/sɪks/,num. 六，六个 n. 六，六个,
1508,size,英:/saɪz/ 美:/saɪz/,n. 大小；尺寸 adj. 一定尺寸的,
1509,skilful,英:/'skɪlfʊl/ 美:/ˈskɪlfəl/,adj. （英）熟练的；灵巧的；技术好的（等于skillful）,
1510,skill,英:/skɪl/ 美:/skɪl/,n. 技能，技巧；本领，技术,
1511,skin,英:/skɪn/ 美:/skɪn/,n. 皮肤；外皮 vt. 剥皮,
1512,skirt,英:/skɜːt/ 美:/skɜːrt/,n. 裙子 vt. 绕过，回避；位于…边缘,
1513,sky,英:/skaɪ/ 美:/skaɪ/,n. 天空；顶点 vt. 把…投向空中；把…挂得过高,
1514,sleep,英:/sliːp/ 美:/slip/,vi. 睡，睡觉 n. 睡眠,
1515,sleeve,英:/sliːv/ 美:/sliːv/,n. 袖子，袖套；套筒，套管 vt. 给……装袖子；给……装套筒,
1516,slide,英:/slaɪd/ 美:/slaɪd/,n. 幻灯片；滑动；滑梯；雪崩 vi. 滑动；滑落；不知不觉陷入,
1517,slight,英:/slaɪt/ 美:/slaɪt/,adj. 轻微的，少量的；脆弱的；细长的；不重要的 vt. 怠慢；轻视，忽略,
1518,slippery,英:/ˈslɪpəri/ 美:/ˈslɪpəri/,adj. 滑的；狡猾的；不稳定的,
1519,slope,英:/sləʊp/ 美:/sloʊp/,n. 倾斜；斜率；斜坡；扛枪姿势 vi. 倾斜；逃走,
1520,slow,英:/sləʊ/ 美:/slo/,adj. 慢的；减速的；迟钝的 vi. 变慢；变萧条,
1521,small,英:/smɔːl/ 美:/smɔl/,adj. 少的，小的；不重要的；几乎没有的；微弱的；幼小的 adv. 小小地；卑鄙地,
1522,smart,英:/smɑːt/ 美:/smɑrt/,adj. 时髦的；漂亮的；聪明的；敏捷的；整洁的；厉害的 vi. 刺痛；难过；烦恼 n. 刺痛；苦恼 adv. （=smartly）,
1523,smell,英:/smel/ 美:/smɛl/,vi. 嗅，闻；有…气味 vt. 嗅，闻；察觉到；发出…的气味,
1524,smile,英:/smaɪl/ 美:/smaɪl/,vi. 微笑 n. 微笑；笑容；喜色,
1525,smoke,英:/sməʊk/ 美:/smok/,n. 烟；抽烟；无常的事物 vi. 冒烟，吸烟；抽烟；弥漫,
1526,smooth,英:/smuːð/ 美:/smuːð/,adj. 光滑的；顺利的；平稳的 vt. 使光滑；缓和；消除（障碍等）；使优雅,
1527,snake,英:/sneɪk/ 美:/snek/,n. 蛇；阴险的人 vi. 迂回前进,
1528,snow,英:/snəʊ/ 美:/sno/,n. 雪，积雪；下雪 vi. 降雪,
1529,so,英:/səʊ/ 美:/so/,adv. 如此，这么；确是如此 conj. 所以；因此,
1530,soap,英:/səʊp/ 美:/soʊp/,n. 肥皂 vt. 将肥皂涂在……上；对……拍马屁（俚语）,
1531,social,英:/'səʊʃ(ə)l/ 美:/'soʃl/,adj. 社会的，社交的；群居的 n. 联欢会；联谊会,
1532,society,英:/sə'saɪətɪ/ 美:/sə'saɪəti/,n. 社会；社交界；交往；社团,
1533,sock,英:/sɒk/ 美:/sɑːk/,n. 短袜；一击 vt. 重击；给……穿袜,
1534,soft,英:/sɒft/ 美:/sɔft/,adj. 温柔的，温和的；软的，柔软的；笨的；软弱的 adv. 柔软地；温和地,
1535,software,英:/ˈsɒftweə(r)/ 美:/ˈsɔːftwer/,n. 软件,
1536,soil,英:/sɔɪl/ 美:/sɔɪl/,n. 土地；土壤；国家；粪便；务农；温床  vt.&vi. 弄脏；污辱,
1537,soldier,英:/ˈsəʊldʒə(r)/ 美:/ˈsoʊldʒər/,n. 军人；兵蚁；懒汉；[口]一片烤面包 vi. [口]磨洋工；当兵；坚持干；假称害病,
1538,solid,英:/ˈsɒlɪd/ 美:/ˈsɑːlɪd/,adj. 固体的；结实的；可靠的；一致的；立体的 n. 固体；立方体,
1539,solution,英:/səˈluːʃn/ 美:/səˈluːʃn/,n. 解决方案；溶液；溶解；解答,
1540,solve,英:/sɒlv/ 美:/sɔlv/,vt. 解决；解答；溶解 vi. 作解答,
1541,some,英:/sʌm/ 美:/səm/,adj. 一些；大约；某一 pron. 一些；若干,
1542,somehow,英:/ˈsʌmhaʊ/ 美:/ˈsʌmhaʊ/,adv. 莫名其妙地；以某种方法,
1543,someone,英:/'sʌmwʌn/ 美:/'sʌmwʌn/,pron. 有人，某人,
1544,something,英:/'sʌmθɪŋ/ 美:/'sʌmθɪŋ/,"pron. 某物, 某事 重要的事物[人], 有一定意义的事物",
1545,sometimes,英:/'sʌmtaɪmz/ 美:/'sʌmtaɪmz/,adv. 有时；间或,
1546,somewhere,英:/'sʌmweə/ 美:/'sʌmwɛr/,adv. 在某处；到某种程度；大约 n. 某处,
1547,son,英:/sʌn/ 美:/sʌn/,n. 儿子；男性后裔；孩子（对年轻人的称呼）,
1548,song,英:/sɒŋ/ 美:/sɔŋ/,n. 歌曲；歌唱；(鸟等)鸣声,
1549,soon,英:/suːn/ 美:/sun/,adv. 快；立刻；不久，一会儿；宁愿,
1550,sore,英:/sɔː(r)/ 美:/sɔːr/,adj. 疼痛的；痛心的；恼火的；严重的 n. 痛处；伤口,
1551,sorry,英:/'sɒrɪ/ 美:/'sɔri/,adj. 对不起的，抱歉的；遗憾的 int. 对不起，抱歉（表示委婉的拒绝等）,
1552,sort,英:/sɔːt/ 美:/sɔːrt/,n. 种类；方式；品质 vi. 分类；交往；协调,
1553,soul,英:/səʊl/ 美:/soʊl/,n. 灵魂；精神；心灵；鬼魂 adj. 美国黑人文化的,
1554,sound,英:/saʊnd/ 美:/saʊnd/,vt. 使发声；听（诊）；测量，测…深；宣告；试探 n. 声音，语音；海峡；吵闹；噪音；听力范围；探条,
1555,soup,英:/suːp/ 美:/sup/,n. 汤，羹；马力 vt. 加速；增加马力,
1556,sour,英:/ˈsaʊə(r)/ 美:/ˈsaʊər/,adj. 酸的；酸臭的；讨厌的；刺耳的；发酵的 vi. 变酸；厌烦；发酵,
1557,southern,英:/'sʌð(ə)n/ 美:/'sʌðɚn/,adj. 南方的；南的 n. 南方人,
1558,space,英:/speɪs/ 美:/spes/,n. 空间；距离；太空 vi. 留间隔,
1559,spacecraft,英:/ˈspeɪskrɑːft/ 美:/ˈspeɪskræft/,n. 宇宙飞船,
1560,speak,英:/spiːk/ 美:/spik/,vi. 说话；演讲；陈述；表明 vt. 讲话；发言；讲演,
1561,special,英:/'speʃ(ə)l/ 美:/'spɛʃl/,adj. 特别的；特殊的；专门的 n. 特别的东西；特刊；特色菜；特价,
1562,specific,英:/spəˈsɪfɪk/ 美:/spəˈsɪfɪk/,adj. 特殊的，特定的；明确的；详细的；具有特效的 n. 特效药；细节；特性,
1563,speech,英:/spiːtʃ/ 美:/spiːtʃ/,n. 演说；演讲；讲话；语音,
1564,speed,英:/spiːd/ 美:/spid/,vi. 加速，迅速前行；超速，加速；兴隆 n. 速度，速率；迅速，快速；昌盛，繁荣,
1565,spell,英:/spel/ 美:/spel/,vt. 拼，拼写；拼成；意味着；迷住；招致；轮值 n. 符咒；一段时间；魅力,
1566,spend,英:/spend/ 美:/spɛnd/,vt. 花费；度过，消磨（时光）；用尽；浪费 vi. 花钱；用尽，耗尽,
1567,spice,英:/spaɪs/ 美:/spaɪs/,n. 香料；情趣；调味品；少许 vt. 加香料于…；使…增添趣味,
1568,spicy,英:/'spaɪsɪ/ 美:/'spaɪsi/,adj. 辛辣的；香的，多香料的；下流的,
1569,spin,英:/spɪn/ 美:/spɪn/,vi. 旋转；纺纱；吐丝；晕眩 vt. 使旋转；纺纱；编造；结网 n. 旋转；疾驰,
1570,split,英:/splɪt/ 美:/splɪt/,vt. 劈开；分离；使分离；离开 vi. 被劈开；断绝关系；离开,
1571,spoil,英:/spɔɪl/ 美:/spɔɪl/,vt. 溺爱；糟蹋；掠夺 vi. 变坏；掠夺；腐败,
1572,spoon,英:/spuːn/ 美:/spʊn/,n. 匙，勺子；一杓的量 vt. 用匙舀；使成匙状,
1573,sport,英:/spɔːt/ 美:/spɔːrt/,n. 运动；运动会；游戏；娱乐；玩笑 vi. 游戏,
1574,spot,英:/spɒt/ 美:/spɑːt/,n. 斑点；地点 vt. 认出；弄脏；用灯光照射,
1575,spread,英:/spred/ 美:/sprɛd/,vi. 传播；伸展 vt. 传播，散布；展开；伸展；铺开,
1576,spring,英:/sprɪŋ/ 美:/sprɪŋ/,n. 春天；弹簧；泉水；跳跃；活力 adj. 春天的,
1577,square,英:/skweə(r)/ 美:/skwer/,adj. 直角的；正方形的；正直的；平方的 vt. 使成方形；与…一致,
1578,stage,英:/steɪdʒ/ 美:/steɪdʒ/,n. 舞台；戏剧；驿站；阶段 vt. 上演；举行；筹划,
1579,stair,英:/steə(r)/ 美:/ster/,n. 楼梯，阶梯；梯级,
1580,stamp,英:/stæmp/ 美:/stæmp/,n. 邮票；印记；跺脚；标志 vt. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏,
1581,stand,英:/stænd/ 美:/stænd/,vi. 位于；站立；停滞 vt. 忍受；使站立；抵抗,
1582,standard,英:/ˈstændəd/ 美:/ˈstændərd/,n. 标准；度量衡标准；旗；水准 adj. 标准的；合规格的；公认为优秀的,
1583,star,英:/stɑː/ 美:/stɑr/,n. 星，恒星；明星；星形物 vt. 用星号标于；由…主演，由…担任主角,
1584,start,英:/stɑːt/ 美:/stɑːrt/,vt. 开始；启动 vi. 出发,
1585,state,英:/steɪt/ 美:/steɪt/,n. 情形；国家；州 vt. 陈述；规定；声明,
1586,statement,英:/ˈsteɪtmənt/ 美:/ˈsteɪtmənt/,"n. 声明, 陈述 结算单, 报表",
1587,station,英:/'steɪʃ(ə)n/ 美:/'steʃən/,n. 站；地位；身份；驻地 vt. 配置；驻扎；安置,
1588,stay,英:/steɪ/ 美:/ste/,vi. 停留；暂住；停下；坚持 vt. 暂住；抑制；坚持,
1589,steady,英:/ˈstedi/ 美:/ˈstedi/,adj. 稳定的；不变的；沉着的 vi. 稳固,
1590,steal,英:/stiːl/ 美:/stiːl/,vt. 剽窃；偷偷地做；偷窃 vi. 窃取；偷偷地行动；[棒球]偷垒,
1591,steam,英:/stiːm/ 美:/stiːm/,vt. 蒸，散发；用蒸汽处理 n. 蒸汽；精力,
1592,steel,英:/stiːl/ 美:/stiːl/,n. 钢铁；钢制品；坚固 vt. 钢化；使冷酷,
1593,steep,英:/stiːp/ 美:/stiːp/,adj. 陡峭的；夸大的；不合理的；急剧升降的 vt. 浸；泡；使…充满,
1594,stem,英:/stem/ 美:/stem/,n. 茎；干；船首；血统 vt. 除去…的茎；给…装柄；阻止,
1595,step,英:/step/ 美:/stɛp/,n. 步，脚步；步伐；步骤；梯级 vi. 走；踏，踩,
1596,stick,英:/stɪk/ 美:/stɪk/,n. 手杖；枝；杆 vt. 刺入；插于；竖起 vi. 钉住；坚持，遵守；粘贴；生效，起作用,
1597,sticky,英:/ˈstɪki/ 美:/ˈstɪki/,adj. 粘的；粘性的,
1598,stiff,英:/stɪf/ 美:/stɪf/,adj. 严厉的；呆板的；坚硬的；拘谨的；艰难的 adv. 彻底地；僵硬地,
1599,still,英:/stɪl/ 美:/stɪl/,adv. 更；仍然；静止地 adj. 静止的，不动的；寂静的，平静的；不起泡的,
1600,sting,英:/stɪŋ/ 美:/stɪŋ/,n. 刺痛；刺毛；讽刺，刺激 vt. 驱使；刺；使…苦恼；使…疼痛,
1601,stomach,英:/ˈstʌmək/ 美:/ˈstʌmək/,n. 胃；胃口；腹部 vt. 忍受；吃下,
1602,stone,英:/stəʊn/ 美:/ston/,n. 石头；宝石；结石 adj. 石的，石制的,
1603,stop,英:/stɒp/ 美:/stɑp/,vt. 堵塞；停止；断绝 vi. 停止；被塞住；中止；逗留,
1604,store,英:/stɔː(r)/ 美:/stɔːr/,n. 储备，贮藏；仓库；商店 vt. 贮藏，储存,
1605,storm,英:/stɔːm/ 美:/stɔrm/,n. 暴风雨；大动荡 vi. 起风暴；横冲直撞；狂怒咆哮,
1606,story,英:/'stɔːrɪ/ 美:/'stɔri/,n. 故事；来历；新闻报道；小说；[口]假话 vt. 用历史故事画装饰,
1607,straight,英:/streɪt/ 美:/stret/,adj. 直的；正直的；整齐的；连续的；笔直的 adv. 直接地；坦率地；立即；不断地,
1608,stream,英:/striːm/ 美:/striːm/,n. 溪流；流动；光线；潮流 vi. 流；涌进；飘扬,
1609,street,英:/stri:t/ 美:/strit/,n. 街道 adj. 街道的,
1610,strength,英:/streŋθ/ 美:/streŋθ/,n. 力量；力气；长处；兵力,
1611,stretch,英:/stretʃ/ 美:/stretʃ/,v. 伸展；延伸；张开；夸大 n. 伸展；张开；弹性；一段时间；刑期 adj. 可伸缩的,
1612,strict,英:/strɪkt/ 美:/strɪkt/,adj. 严格的；精确的；绝对的；详细的,
1613,strike,英:/straɪk/ 美:/straɪk/,n. 罢工；打击；殴打 v. 打；撞；罢工；划燃,
1614,string,英:/strɪŋ/ 美:/strɪŋ/,n. 线，细绳；一串，一行 vt. 扎，缚；使排成一列，串起；伸展，拉直,
1615,strip,英:/strɪp/ 美:/strɪp/,vt. 剥去；剥夺；脱去衣服 n. 带；条状；脱衣舞,
1616,strong,英:/strɒŋ/ 美:/strɔŋ/,adj. 强壮的；擅长的；坚强的；牢固的 adv. 强劲地；猛烈地,
1617,structure,英:/ˈstrʌktʃə(r)/ 美:/ˈstrʌktʃər/,n. 结构；构造；建筑物 vt. 构造；建造；组织,
1618,struggle,英:/ˈstrʌɡl/ 美:/ˈstrʌɡl/,vi. 挣扎；奋斗，努力 n. 努力，奋斗；竞争,
1619,student,英:/'stjuːd(ə)nt/ 美:/'studnt/,n. 学生；学者,
1620,study,英:/'stʌdɪ/ 美:/'stʌdi/,n. 学习，研究；学问；课题；书房 vt. 学习；攻读；考虑；细察,
1621,stupid,英:/'stjuːpɪd/ 美:/'stupɪd/,adj. 愚蠢的；麻木的；乏味的 n. 傻瓜，笨蛋,
1622,style,英:/staɪl/ 美:/staɪl/,n. 风格；类型；时尚；字体 vt. 设计；称呼；使合潮流,
1623,substance,英:/ˈsʌbstəns/ 美:/ˈsʌbstəns/,n. 实质；物质；财产；内容；重要性,
1624,succeed,英:/sək'siːd/ 美:/sək'sid/,vi. 成功；继承；继任；兴旺 vt. 继承；接替；继…之后,
1625,success,英:/sək'ses/ 美:/sək'sɛs/,n. 成功，成就；胜利；大获成功的人或事物,
1626,successful,英:/sək'sesfʊl/ 美:/sək'sɛsfl/,adj. 成功的; 如愿以偿的; 达到目的,
1627,such,英:/sʌtʃ/ 美:/sʌtʃ/,adj. 这样的，如此的,
1628,suck,英:/sʌk/ 美:/sʌk/,vt. 吸吮；吸取 vi. 吸吮；巴结；[俚]糟糕,
1629,sudden,英:/'sʌd(ə)n/ 美:/'sʌdn/,adj. 突然的，意外的；快速的 n. 突然发生的事,
1630,suffer,英:/ˈsʌfə(r)/ 美:/ˈsʌfər/,vt. 忍受；遭受；经历 vi. 受损害；受痛苦；遭受，忍受；经验,
1631,sugar,英:/ˈʃʊɡə(r)/ 美:/ˈʃʊɡər/,n. 糖；食糖；甜言蜜语 vt. 加糖于；粉饰,
1632,suggest,英:/səˈdʒest/ 美:/səˈdʒest/,vt. 提议，建议；启发；使人想起,
1633,suitable,英:/ˈsuːtəbl/ 美:/ˈsuːtəbl/,adj. 适当的；相配的,
1634,sum,英:/sʌm/ 美:/sʌm/,n. 总数；金额 vi. 概括,
1635,summer,英:/'sʌmə/ 美:/'sʌmɚ/,n. 夏季；全盛时期 vi. 过夏天；避暑,
1636,sun,英:/sʌn/ 美:/sʌn/,n. 太阳；阳光；中心人物 v. 晒太阳,
1637,supply,英:/səˈplaɪ/ 美:/səˈplaɪ/,n. 供给，补给；供应品 vt. 供给，提供；补充,
1638,support,英:/səˈpɔːt/ 美:/səˈpɔːrt/,vt. 支持，支撑，支援；赡养，供养；扶持，帮助 n. 支持，维持；支持者，支撑物；支援，供养,
1639,suppose,英:/sə'pəʊz/ 美:/sə'poz/,vt. 假设；认为；推想；让（虚拟语气） vi. 料想；猜想,
1640,sure,英:/ʃʊə(r)/ 美:/ʃʊr/,adj. 可靠的；必定的；确信的 adv. 当然；的确,
1641,surface,英:/'sɜːfɪs/ 美:/'sɝfɪs/,n. 表面；外观；表层 adj. 表面的，肤浅的,
1642,surprise,英:/sə'praɪz/ 美:/sɚ'praɪz/,n. 惊奇，诧异；突然袭击 vt. 使惊奇；奇袭,
1643,surprising,英:/sə'praɪzɪŋ/ 美:/sɚ'praɪzɪŋ/,"adj. 使人惊讶的, 出人意料的, 惊人的",
1644,surround,英:/səˈraʊnd/ 美:/səˈraʊnd/,vt. 围绕；包围 n. 围绕物,
1645,swallow,英:/ˈswɒləʊ/ 美:/ˈswɑːloʊ/,n. 燕子；吞咽；一次吞咽的量 v. 忍受；吞下；咽下；轻信；不流露感情；收回,
1646,swear,英:/sweə(r)/ 美:/swer/,vt. 发誓；咒骂 vi. 诅咒；发誓，宣誓,
1647,swell,英:/swel/ 美:/swel/,vi. 膨胀；[病理]肿胀；隆起 vt. 使膨胀；使隆起,
1648,swim,英:/swɪm/ 美:/swɪm/,vi. 游泳；浸；漂浮；眩晕 vt. 游过；使浮起,
1649,swing,英:/swɪŋ/ 美:/swɪŋ/,n. 摇摆；秋千；摆动；音律；涨落 vi. 摇摆；转向；悬挂；大摇大摆地行走,
1650,switch,英:/swɪtʃ/ 美:/swɪtʃ/,vt. 转换；用鞭子等抽打 vi. 转换；抽打；[体]换防,
1651,sword,英:/sɔːd/ 美:/sɔːrd/,n. 刀，剑；武力，战争,
1652,symbol,英:/ˈsɪmbl/ 美:/ˈsɪmbl/,n. 符号；象征；标志,
1653,sympathetic,英:/ˌsɪmpəˈθetɪk/ 美:/ˌsɪmpəˈθetɪk/,"adj. 表示同情的 赞同的, 支持的",
1654,sympathy,英:/ˈsɪmpəθi/ 美:/ˈsɪmpəθi/,n. 同情；赞同；慰问,
1655,system,英:/ˈsɪstəm/ 美:/ˈsɪstəm/,n. 系统；制度，体制；方法,
1656,table,英:/ˈteɪbl/ 美:/ˈteɪbl/,n. 桌子；表格；平地层 vt. 嵌合；搁置；制表,
1657,tail,英:/teɪl/ 美:/tel/,n. 尾部；踪迹；辫子；燕尾服 vt. 尾随；装上尾巴,
1658,talk,英:/tɔːk/ 美:/tɔːk/,vt. 说；谈话；讨论 vi. 谈话；说闲话,
1659,tape,英:/teɪp/ 美:/teɪp/,n. 磁带；带子；卷尺；胶带 vt. 录音；用带子捆扎；用胶布把…封住,
1660,taste,英:/teɪst/ 美:/teɪst/,n. 味道；品味；审美 vt. 尝；体验,
1661,tax,英:/tæks/ 美:/tæks/,vt. 向…课税；使负重担 n. 税金；重负,
1662,taxi,英:/'tæksɪ/ 美:/'tæksi/,vi. 乘出租车；滑行 vt. 用出租车送；使滑行,
1663,tea,英:/tiː/ 美:/ti/,n. 茶叶；茶树；茶点 vt. 给…沏茶,
1664,teach,英:/tiːtʃ/ 美:/titʃ/,vt. 教；教授；教导 vi. 讲授；教授；当老师,
1665,teacher,英:/'tiːtʃə/ 美:/'titʃɚ/,n. 教师；导师,
1666,team,英:/tiːm/ 美:/tim/,n. 队；组 vt. 使合作,
1667,tear,英:/tɪə(r)/ 美:/tɪr/,v. 撕掉，扯下；撕破；拔掉；拉伤；（非正式）狂奔；饱经……摧残；流眼泪  n. 眼泪；（撕破的）洞或裂缝， 撕扯,
1668,technical,英:/ˈteknɪkl/ 美:/ˈteknɪkl/,adj. 工艺的， 技术的,
